text,true_label,predicted_label1,predicted_label2,result
综合布线系统接地装置的接地电阻值要求如下：1 采用共用接地装置时，接地电阻值应不大于1Ω。,direct,direct,general,正确
平台、步道、升降口、吊装孔、闸门井和坑池边等有坠落危险处，应设栏杆或盖板，需登高检查和维修设备处，应有防护设施。,direct,direct,method,正确
矿井地面生产系统集中控制装置应设有声光兼备的启动预告信号。,direct,others,direct,正确
建筑物内排出管最小管径不得小于86mm。,direct,direct,general,正确
电炉冶炼噪声的控制宜设置密闭罩或半密闭罩。,direct,direct,others,正确
楼梯梯段中间窗及平台处窗，其窗台高度小于0．8m时，应设防护栏杆，且高度应与楼梯栏杆一致。,direct,direct,indirect,正确
实验室工作台间通道宽度不应小于1．20m。,direct,direct,general,正确
填方路基应优先选用级配较好的砾类土、砂类土等粗粒土作为填料，填料最大粒径应小于150mm。,direct,direct,general,正确
厂房生产车间、地面应采用耐磨地面，有腐蚀介质的场所应采用防腐蚀地面。,direct,direct,general,正确
疗养院应设置医技用房，根据疗养院的规模、性质，可设置与其匹配的基础检查室及医疗设备用房，可包括检验、X光室、心电图室、超声波室、化验室，根据需要还可设置影像检查、核医学诊断等科室。,direct,direct,general,正确
体育馆或运动员经常出入的门扇净高不应小于2.2m 。,direct,direct,general,正确
两个路口间的消防车道长度大于300m时，尽头式消防车道应在该消防车道的中段设置回车场。,direct,direct,general,正确
汽车衡两端引道直线段长度不应小于设计的最长一辆车长。,direct,direct,indirect,正确
不同材料交界处宜附加一层直径为1mm的金属网搭接，金属网宽度宜为200mm～300mm。,direct,direct,indirect,正确
木丝水泥预制保温墙板长度不宜大于6000mm，高度不宜大于4000mm；芯材厚度不宜大于300mm，且不宜小于150mm。,direct,direct,general,正确
工艺装置内露天布置的塔、容器等设备应设防雷保护设施，当壁厚不小于4mm时，可不设避雷针保护，但应设防雷接地。,direct,direct,general,正确
机物料库内应隔出60m²～100m²作为橡胶辊储存室。,direct,indirect,reference,错误
快速公交系统的专用车道宽度不应小于6．1m。,direct,direct,general,正确
光缆硅芯塑料管道宜使用内壁平滑型塑料管。,direct,direct,general,正确
采用热气溶胶预制灭火系统的防护区，其高度不宜大于3．9m。,direct,direct,general,正确
活性氧化铝的粒径应小于 2.5mm ，宜为 0.5～1.5 mm 。,direct,direct,general,正确
舞蹈教室宜采用木地板。,direct,direct,general,正确
当采用多振型反应谱法计算时，振型阶数在计算方向给出的有效振型参与质量不应低于该方向结构总质量的90％。,general,general,indirect,正确
平房仓结构按承载能力极限状态设计时，应采用荷载效应的基本组合和结构抗力设计值进行设计。,general,general,direct,正确
车间空气中的粉尘浓度、噪声等物理有害因素的排放应符合国家对工作场所有害因素职业接触限值的有关要求。,general,general,others,正确
蓄电池间宜独立设置，蓄电池间的规模应符合磁浮车辆蓄电池检修和充电要求，并应符合车辆基地内配置的其他运输车辆、特种工程车车载蓄电池维护要求。,general,general,direct,正确
